"Time","Outer Diameter","Inner Diameter","Temperature (oC)","Pressure 1 (mmHg)","Pressure 2 (mmHg)","Avg Pressure (mmHg)","Caliper length"
"0.0","201.33333333333334","156.0","nan","nan","nan","nan","nan"
"0.2690000534057617","201.33333333333334","156.0","nan","nan","nan","nan","nan"
"0.5320000648498535","201.33333333333334","156.0","nan","nan","nan","nan","nan"
"0.8010001182556152","201.33333333333334","156.0","nan","nan","nan","nan","nan"
"1.003999948501587","201.33333333333334","156.0","nan","nan","nan","nan","nan"
"1.2750000953674316","201.33333333333334","156.0","nan","nan","nan","nan","nan"
"1.5369999408721924","201.33333333333334","156.0","nan","nan","nan","nan","nan"
"7.7790000438690186","200.375","155.5","nan","nan","nan","nan","195.0"
"8.041000127792358","200.375","155.5","nan","nan","nan","nan","195.0"
"8.342000007629395","201.88888888888889","156.55555555555554","nan","nan","nan","nan","195.0"
"8.578999996185303","201.88888888888889","156.66666666666666","nan","nan","nan","nan","195.0"
"8.842000007629395","202.0","156.66666666666666","nan","nan","nan","nan","195.0"
"9.079999923706055","202.0","156.55555555555554","nan","nan","nan","nan","195.0"
"9.358000040054321","202.0","156.66666666666666","nan","nan","nan","nan","195.0"
"9.641999959945679","202.0","156.88888888888889","nan","nan","nan","nan","195.0"
"9.911999940872192","200.875","155.625","nan","nan","nan","nan","195.0"
"10.127000093460083","200.75","155.75","nan","nan","nan","nan","195.0"
"10.38100004196167","200.75","155.75","nan","nan","nan","nan","195.0"
"10.644000053405762","200.875","155.75","nan","nan","nan","nan","195.0"
"10.91700005531311","202.33333333333334","156.88888888888889","nan","nan","nan","nan","195.0"
"11.187000036239624","202.33333333333334","157.11111111111111","nan","nan","nan","nan","195.0"
"11.453999996185303","202.44444444444446","157.0","nan","nan","nan","nan","195.0"
"11.723000049591064","202.44444444444446","157.11111111111111","nan","nan","nan","nan","195.0"
"11.992000102996826","202.44444444444446","157.0","nan","nan","nan","nan","195.0"
"12.255000114440918","202.44444444444446","157.0","nan","nan","nan","nan","195.0"
"12.45900011062622","204.30000000000001","158.40000000000001","nan","nan","nan","nan","195.0"
"12.729000091552734","202.55555555555554","157.11111111111111","nan","nan","nan","nan","195.0"
"12.998000144958496","202.66666666666666","157.22222222222223","nan","nan","nan","nan","195.0"
"13.263999938964844","202.66666666666666","157.22222222222223","nan","nan","nan","nan","195.0"
"13.502000093460083","204.40000000000001","158.5","nan","nan","nan","nan","195.0"
"13.80299997329712","202.88888888888889","157.22222222222223","nan","nan","nan","nan","195.0"
"14.034000158309937","204.40000000000001","158.59999999999999","nan","nan","nan","nan","195.0"
"14.30400013923645","204.40000000000001","158.59999999999999","nan","nan","nan","nan","195.0"
"14.53600001335144","203.11111111111111","157.44444444444446","nan","nan","nan","nan","195.0"
"14.805999994277954","203.11111111111111","157.55555555555554","nan","nan","nan","nan","195.0"
"15.069000005722046","203.11111111111111","157.55555555555554","nan","nan","nan","nan","195.0"
"15.36899995803833","203.11111111111111","157.55555555555554","nan","nan","nan","nan","195.0"
"15.638000011444092","203.22222222222223","157.66666666666666","nan","nan","nan","nan","195.0"
"15.870000123977661","203.22222222222223","157.66666666666666","nan","nan","nan","nan","195.0"
"16.10800004005432","203.22222222222223","157.88888888888889","nan","nan","nan","nan","195.0"
"16.409000158309937","203.22222222222223","157.77777777777777","nan","nan","nan","nan","195.0"
"16.671000003814697","203.22222222222223","157.88888888888889","nan","nan","nan","nan","195.0"
"16.875999927520752","203.22222222222223","157.77777777777777","nan","nan","nan","nan","195.0"
"17.176000118255615","203.33333333333334","157.77777777777777","nan","nan","nan","nan","195.0"
"17.426000118255615","203.22222222222223","157.77777777777777","nan","nan","nan","nan","195.0"
"17.661999940872192","203.33333333333334","157.88888888888889","nan","nan","nan","nan","195.0"
"17.94700002670288","203.44444444444446","157.88888888888889","nan","nan","nan","nan","195.0"
"18.216000080108643","203.44444444444446","157.88888888888889","nan","nan","nan","nan","195.0"
"18.48300004005432","203.44444444444446","158.0","nan","nan","nan","nan","195.0"
"18.752000093460083","201.875","157.0","nan","nan","nan","nan","195.0"
"18.956000089645386","201.875","156.75","nan","nan","nan","nan","195.0"
"19.256999969482422","201.875","156.75","nan","nan","nan","nan","195.0"
"19.526000022888184","203.33333333333334","157.88888888888889","nan","nan","nan","nan","195.0"
"19.758000135421753","203.33333333333334","157.77777777777777","nan","nan","nan","nan","195.0"
"20.058000087738037","203.22222222222223","157.77777777777777","nan","nan","nan","nan","195.0"
"20.289999961853027","203.22222222222223","157.77777777777777","nan","nan","nan","nan","195.0"
"20.55900001525879","201.75","156.75","nan","nan","nan","nan","195.0"
"20.828999996185303","201.75","156.75","nan","nan","nan","nan","195.0"
"21.091000080108643","201.75","156.75","nan","nan","nan","nan","195.0"
"21.361000061035156","202.77777777777777","157.77777777777777","nan","nan","nan","nan","195.0"
"21.561000108718872","202.88888888888889","157.77777777777777","nan","nan","nan","nan","195.0"
"21.831000089645386","202.88888888888889","157.66666666666666","nan","nan","nan","nan","195.0"
"22.094000101089478","204.30000000000001","159.19999999999999","nan","nan","nan","nan","195.0"
"22.36300015449524","203.0","157.88888888888889","nan","nan","nan","nan","195.0"
"22.631999969482422","201.375","156.625","nan","nan","nan","nan","195.0"
"22.86400008201599","202.77777777777777","157.77777777777777","nan","nan","nan","nan","195.0"
"23.164000034332275","201.375","156.625","nan","nan","nan","nan","195.0"
"23.396000146865845","201.375","156.625","nan","nan","nan","nan","195.0"
"23.69600009918213","201.25","156.75","nan","nan","nan","nan","195.0"
